Particle index 162, connected to particle index 183, rest length: 0.707107
Particle index 163, connected to particle index 182, rest length: 0.707107
Particle index 163, connected to particle index 184, rest length: 0.707107
Particle index 164, connected to particle index 183, rest length: 0.707107
Particle index 164, connected to particle index 185, rest length: 0.707107
Particle index 165, connected to particle index 184, rest length: 0.707107
Particle index 165, connected to particle index 186, rest length: 0.707107
Particle index 166, connected to particle index 185, rest length: 0.707107
Particle index 166, connected to particle index 187, rest length: 0.707107
Particle index 167, connected to particle index 186, rest length: 0.707107
Particle index 167, connected to particle index 188, rest length: 0.707107
Particle index 168, connected to particle index 187, rest length: 0.707107
Particle index 168, connected to particle index 189, rest length: 0.707107
Particle index 169, connected to particle index 188, rest length: 0.707107
Particle index 169, connected to particle index 190, rest length: 0.707107
Particle index 170, connected to particle index 189, rest length: 0.707107
Particle index 170, connected to particle index 191, rest length: 0.707107
Particle index 171, connected to particle index 190, rest length: 0.707107
Particle index 171, connected to particle index 192, rest length: 0.707107
Particle index 172, connected to particle index 191, rest length: 0.707107
Particle index 172, connected to particle index 193, rest length: 0.707107
Particle index 173, connected to particle index 192, rest length: 0.707107
Particle index 173, connected to particle index 194, rest length: 0.707107
Particle index 174, connected to particle index 193, rest length: 0.707107
Particle index 174, connected to particle index 195, rest length: 0.707107
Particle index 175, connected to particle index 194, rest length: 0.707107
Particle index 175, connected to particle index 196, rest length: 0.707107
Particle index 176, connected to particle index 195, rest length: 0.707107
Particle index 176, connected to particle index 197, rest length: 0.707107
Particle index 177, connected to particle index 196, rest length: 0.707107
Particle index 177, connected to particle index 198, rest length: 0.707107
Particle index 178, connected to particle index 197, rest length: 0.707107
Particle index 178, connected to particle index 199, rest length: 0.707107
Particle index 179, connected to particle index 198, rest length: 0.707107
Particle index 180, connected to particle index 201, rest length: 0.707107
Particle index 181, connected to particle index 200, rest length: 0.707107
Particle index 181, connected to particle index 202, rest length: 0.707107
Particle index 182, connected to particle index 201, rest length: 0.707107
Particle index 182, connected to particle index 203, rest length: 0.707107
Particle index 183, connected to particle index 202, rest length: 0.707107
Particle index 183, connected to particle index 204, rest length: 0.707107
Particle index 184, connected to particle index 203, rest length: 0.707107
Particle index 184, connected to particle index 205, rest length: 0.707107
Particle index 185, connected to particle index 204, rest length: 0.707107
Particle index 185, connected to particle index 206, rest length: 0.707107
Particle index 186, connected to particle index 205, rest length: 0.707107
Particle index 186, connected to particle index 207, rest length: 0.707107
Particle index 187, connected to particle index 206, rest length: 0.707107
Particle index 187, connected to particle index 208, rest length: 0.707107
Particle index 188, connected to particle index 207, rest length: 0.707107
Particle index 188, connected to particle index 209, rest length: 0.707107
Particle index 189, connected to particle index 208, rest length: 0.707107
Particle index 189, connected to particle index 210, rest length: 0.707107
Particle index 190, connected to particle index 209, rest length: 0.707107
Particle index 190, connected to particle index 211, rest length: 0.707107
Particle index 191, connected to particle index 210, rest length: 0.707107
Particle index 191, connected to particle index 212, rest length: 0.707107
Particle index 192, connected to particle index 211, rest length: 0.707107
Particle index 192, connected to particle index 213, rest length: 0.707107
Particle index 193, connected to particle index 212, rest length: 0.707107
Particle index 193, connected to particle index 214, rest length: 0.707107
Particle index 194, connected to particle index 213, rest length: 0.707107
Particle index 194, connected to particle index 215, rest length: 0.707107
Particle index 195, connected to particle index 214, rest length: 0.707107
Particle index 195, connected to particle index 216, rest length: 0.707107
Particle index 196, connected to particle index 215, rest length: 0.707107
Particle index 196, connected to particle index 217, rest length: 0.707107
Particle index 197, connected to particle index 216, rest length: 0.707107
Particle index 197, connected to particle index 218, rest length: 0.707107
Particle index 198, connected to particle index 217, rest length: 0.707107
Particle index 198, connected to particle index 219, rest length: 0.707107
Particle index 199, connected to particle index 218, rest length: 0.707107
Particle index 200, connected to particle index 221, rest length: 0.707107
Particle index 201, connected to particle index 220, rest length: 0.707107
Particle index 201, connected to particle index 222, rest length: 0.707107
Particle index 202, connected to particle index 221, rest length: 0.707107
Particle index 202, connected to particle index 223, rest length: 0.707107
Particle index 203, connected to particle index 222, rest length: 0.707107
Particle index 203, connected to particle index 224, rest length: 0.707107
Particle index 204, connected to particle index 223, rest length: 0.707107
Particle index 204, connected to particle index 225, rest length: 0.707107
Particle index 205, connected to particle index 224, rest length: 0.707107
Particle index 205, connected to particle index 226, rest length: 0.707107
Particle index 206, connected to particle index 225, rest length: 0.707107
Particle index 206, connected to particle index 227, rest length: 0.707107
Particle index 207, connected to particle index 226, rest length: 0.707107
Particle index 207, connected to particle index 228, rest length: 0.707107
Particle index 208, connected to particle index 227, rest length: 0.707107
Particle index 208, connected to particle index 229, rest length: 0.707107
Particle index 209, connected to particle index 228, rest length: 0.707107
Particle index 209, connected to particle index 230, rest length: 0.707107
Particle index 210, connected to particle index 229, rest length: 0.707107
Particle index 210, connected to particle index 231, rest length: 0.707107
Particle index 211, connected to particle index 230, rest length: 0.707107
Particle index 211, connected to particle index 232, rest length: 0.707107
Particle index 212, connected to particle index 231, rest length: 0.707107
Particle index 212, connected to particle index 233, rest length: 0.707107
Particle index 213, connected to particle index 232, rest length: 0.707107
Particle index 213, connected to particle index 234, rest length: 0.707107
Particle index 214, connected to particle index 233, rest length: 0.707107
Particle index 214, connected to particle index 235, rest length: 0.707107
Particle index 215, connected to particle index 234, rest length: 0.707107
Particle index 215, connected to particle index 236, rest length: 0.707107
Particle index 216, connected to particle index 235, rest length: 0.707107
Particle index 216, connected to particle index 237, rest length: 0.707107
Particle index 217, connected to particle index 236, rest length: 0.707107
Particle index 217, connected to particle index 238, rest length: 0.707107
Particle index 218, connected to particle index 237, rest length: 0.707107
Particle index 218, connected to particle index 239, rest length: 0.707107
Particle index 219, connected to particle index 238, rest length: 0.707107
Particle index 220, connected to particle index 241, rest length: 0.707107
Particle index 221, connected to particle index 240, rest length: 0.707107
Particle index 221, connected to particle index 242, rest length: 0.707107
Particle index 222, connected to particle index 241, rest length: 0.707107
Particle index 222, connected to particle index 243, rest length: 0.707107
Particle index 223, connected to particle index 242, rest length: 0.707107
Particle index 223, connected to particle index 244, rest length: 0.707107
Particle index 224, connected to particle index 243, rest length: 0.707107
Particle index 224, connected to particle index 245, rest length: 0.707107
Particle index 225, connected to particle index 244, rest length: 0.707107
Particle index 225, connected to particle index 246, rest length: 0.707107
